x, y, z, r, p, h, rmse, rmse_per, geo_dis, geo_rot, trans_error, trans_error_per
2.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0287, 1.4302, 0.0515, 1.3554, 0.0261, 1.3007
4.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0360, 0.8988, 0.1772, 3.3678, 0.0051, 0.1279
6.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0326, 0.5432, 0.3300, 3.5414, 0.0077, 0.1285
8.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0472, 0.5898, 0.6653, 4.9315, 0.0195, 0.2441
10.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0258, 0.2580, 0.2269, 1.5039, 0.0188, 0.1881
12.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0558, 0.4652, 0.8064, 4.8184, 0.0244, 0.2037
14.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0458, 0.3274, 1.2980, 5.2015, 0.0259, 0.1847
16.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0475, 0.2971, 0.6329, 2.3882, 0.0418, 0.2611
18.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0688, 0.3821, 0.9123, 4.7745, 0.0376, 0.2089
20.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0440, 0.2202, 0.8200, 2.7083, 0.0338, 0.1691
22.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0403, 0.1834, 0.5445, 2.2145, 0.0285, 0.1297
24.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0499, 0.2079, 1.6725, 4.3653, 0.0263, 0.1096
26.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0665, 0.2559, 1.0098, 2.2964, 0.0607, 0.2335
28.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0571, 0.2041, 1.1535, 2.3631, 0.0517, 0.1846
30.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0438, 0.1460, 1.8302, 3.5757, 0.0248, 0.0827
32.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0658, 0.2056, 1.7848, 3.3083, 0.0534, 0.1669
34.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0855, 0.2513, 3.0414, 5.4212, 0.0652, 0.1917
36.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0818, 0.2273, 3.4406, 5.5073, 0.0600, 0.1666
38.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.1863, 0.4901, 3.4173, 12.3418, 0.0908, 0.2389
40.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.1703, 0.4257, 3.4100, 10.9779, 0.0903, 0.2257
2.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.0166, 0.8584, 0.0448, 1.3168, 0.0073, 0.3748
4.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.0447, 1.1368, 0.1023, 1.8913, 0.0401, 1.0186
6.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.0337, 0.5682, 0.0668, 1.5319, 0.0291, 0.4901
8.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.0498, 0.6280, 0.3375, 2.7031, 0.0452, 0.5702
10.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.0417, 0.4195, 0.4102, 2.8799, 0.0275, 0.2769
12.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.0641, 0.5372, 0.6309, 3.2526, 0.0506, 0.4240
14.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.0390, 0.2799, 0.3248, 2.0634, 0.0336, 0.2412
16.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.0529, 0.3323, 0.3534, 1.5760, 0.0495, 0.3108
18.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.0535, 0.2984, 0.9162, 3.8431, 0.0288, 0.1606
20.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.0483, 0.2421, 0.8341, 3.4501, 0.0254, 0.1274
22.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.0535, 0.2439, 0.3058, 2.6984, 0.0408, 0.1862
24.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.1091, 0.4558, 1.8080, 8.3143, 0.0130, 0.0542
26.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.1343, 0.5180, 2.4175, 10.0303, 0.0033, 0.0126
28.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.1444, 0.5168, 2.6586, 10.6033, 0.0219, 0.0784
30.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.1132, 0.3782, 0.9046, 5.3161, 0.0886, 0.2960
32.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.4536, 1.4205, 11.3310, 33.8700, 0.0415, 0.1301
34.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.3879, 1.1430, 10.1667, 28.8792, 0.0307, 0.0906
36.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.2114, 0.5882, 5.0497, 15.5110, 0.0352, 0.0980
38.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.3387, 0.8929, 9.7151, 24.5492, 0.0782, 0.2061
40.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.3970, 0.9940, 13.1399, 29.3677, 0.0582, 0.1457
